register_id,name,created,modified,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
﻿98187143140,Mercat setmanal de  Provençals,1998-07-06T00:00:00+02:00,2024-06-26T14:10:12.961428+02:00,208205,C Menorca,19,72,Sant Martí de Provençals,10,Sant Martí,8020,BARCELONA,True,200756,20001,Telèfons,Tel.,932916000,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,432853.2529243573,4585634.134722453,41.41945851885895,2.196486723230617
﻿96092125659,Mercat Gòtic Antiguitats *Plaça Nova,1996-04-01T00:00:00+02:00,2024-10-03T12:10:48.334415+02:00,230907,Plaça Nova,1,2,el Barri Gòtic,1,Ciutat Vella,8002,Barcelona,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431049.101250121,4581692.836800299,41.38380774184101,2.175348328058645
﻿96092131636,Fira del Col·lectiu d'Artesans d'Alimentació *Plaça del Pi,1996-04-01T00:00:00+02:00,2023-09-18T13:19:08.675955+02:00,256106,Pl Pi,1,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,True,191669,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,430899.3547393858,4581529.827360606,41.38232671678743,2.173576130337292
﻿96093122603,Mostra d'Art *Plaça de Sarrià,1996-04-02T00:00:00+02:00,2022-04-20T12:16:54.948581+02:00,106103,Pl Sarrià,1,23,Sarrià,5,Sarrià-Sant Gervasi,8017,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,426638.91071915696,4583550.109751975,41.40014532869134,2.122383312823837
﻿97353143150,Fira d'Artesania Rosa de Maig,1997-12-19T00:00:00+01:00,2022-04-20T11:56:39.627380+02:00,85502,Pl Comerç,1,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,True,199830,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,432314.92079105735,4587427.56713858,41.435566198303874,2.1898445895770275
﻿96058181708,Petit Mercat de Zona Nord,1996-02-27T00:00:00+01:00,2024-04-24T16:40:28.522907+02:00,351606,Carrer de Vallcivera,1,55,Ciutat Meridiana,8,Nou Barris,8033,Barcelona,True,189739,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431479.326,4590333.955,41.46167203732213,2.179514177423853
﻿96058182525,Petit Mercat de Trinitat Nova,1996-02-27T00:00:00+01:00,2022-04-20T12:23:16.453640+02:00,96101,Chafarinas,21,53,la Trinitat Nova,8,Nou Barris,8033,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431797.7375199717,4588860.53607772,41.44842866071174,2.1834930021235444
﻿97294135646,Mercat del Vell *Estació de Sants,1997-10-21T00:00:00+02:00,2022-04-20T12:22:08.406451+02:00,700445,Pl Països Catalans,1,18,Sants,3,Sants-Montjuïc,8014,BARCELONA,True,198727,20001,Telèfons,Tel.,934956401,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,428124.42378984566,4581191.134087708,41.3790331168898,2.140432438175691
﻿96353173651,Petit Mercat de Canyelles,1996-12-18T00:00:00+01:00,2024-04-24T16:46:52.732388+02:00,18254,Carrer d'Antonio Machado,12,49,Canyelles,8,Nou Barris,8042,Barcelona,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,430351.179,4588251.198,41.44281639309551,2.1662470301247665
﻿97094130710,Fira de Llibre Vell *Plaça de Sarrià,1997-04-04T00:00:00+02:00,2022-09-17T05:31:10.411723+02:00,106103,Pl Sarrià,1,23,Sarrià,5,Sarrià-Sant Gervasi,8017,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,426638.91071915696,4583550.109751975,41.40014532869134,2.122383312823837
﻿99400065640,"Mostra de Pintors, Caricaturistes i Retratistes de les Rambles",2003-11-11T12:43:12+01:00,2022-04-20T12:16:02.445491+02:00,34308,C la Rambla,25,1,el Raval,1,Ciutat Vella,8002,BARCELONA,True,207470,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431050.6413572347,4581097.143614641,41.37844264033496,2.175434523575812
﻿95191112841,Fira Nova Artesania *Rambles,1995-07-10T00:00:00+02:00,2022-04-20T12:38:19.574945+02:00,34308,C la Rambla,1,1,el Raval,1,Ciutat Vella,8002,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431120.8037173032,4580890.613644945,41.37658849300663,2.176296982804121
﻿99400213409,Fira d'Embotits Artesanals *Plaça de Sarrià,2008-09-22T00:00:00+02:00,2022-09-17T07:03:57.997639+02:00,106103,Pl Sarrià,1,23,Sarrià,5,Sarrià-Sant Gervasi,8017,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,426638.91071915696,4583550.109751975,41.40014532869134,2.122383312823837
﻿99400034560,Fira d'Artesans Plaça Sant Agustí Vell,2003-02-25T11:30:10+01:00,2022-04-20T12:04:42.217469+02:00,296009,Pl Sant Agustí Vell,2,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,True,206410,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431480.2909713406,4582119.523724097,41.38768762738987,2.180456585655333
﻿98096114839,Fira d'Artesans Nou Barris,1998-04-06T00:00:00+02:00,2022-09-17T05:39:12.290224+02:00,351901,Pg Valldaura,186,48,la Guineueta,8,Nou Barris,8042,BARCELONA,True,201230,100050,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,430680.7755761293,4587785.721318832,41.4386525560321,2.170245576894085
﻿99400381358,Fira Espai d'Art  *Av Diagonal,2015-03-26T13:51:16+01:00,2021-10-26T12:58:04.157400+02:00,144601,Avinguda Diagonal,593,19,les Corts,4,Les Corts,8014,Barcelona,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,427338.96499748,4582283.64369705,41.38880236698144,2.130909070377303
﻿98160122258,Mercat Setmanal del Besòs,1998-06-09T00:00:00+02:00,2024-06-25T12:24:12.248828+02:00,165601,C Jaume Huguet,38,70,el Besòs i el Maresme,10,Sant Martí,8019,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,434410.91780702176,4585594.718412233,41.419232167534055,2.2151291359475485
﻿96058200711,Mercat setmanal de la Marina-Zona Franca,1996-02-27T00:00:00+01:00,2024-06-26T14:09:42.561438+02:00,230601,Carrer de la Mare de Déu de Port,115,12,la Marina del Prat Vermell,3,Sants-Montjuïc,8038,Barcelona,False,189741,20001,Telèfons,Tel.,932914256,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,428865.204,4578326.578,41.35329883597558,2.149626569377951
﻿96058201233,Mercat de Numismàtica i Filatèlia *Plaça Reial,1996-02-27T00:00:00+01:00,2021-10-20T13:20:51.725809+02:00,276001,Pl Reial,1,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,True,0,0,Telèfons,No tenen telèfon,0,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,431007.06874422415,4581276.024859739,41.38005003665084,2.1748931265024765
﻿92086009467,Mercat Encants de Sant Antoni,1984-12-28T00:00:00+01:00,2024-09-12T12:46:39.458939+02:00,349706,C Comte d'Urgell,1,10,Sant Antoni,2,Eixample,8011,BARCELONA,True,161791,20001,Telèfons,Tel.,934132300,True,58731069,Mercats i fires al carrer,Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer,651,65103005000001,430051.6610027413,4581424.137217797,41.38130154687466,2.1634511872440987
